지역,개수,무게(kg),위도,경도
강릉송정,350,4.9,37.780492,128.937004
강화여차리,511,25.1,37.608986,126.381675
거제두모,3746,33.8,34.980744,128.694945
고성하일,1710,21.8,34.921785,128.200813
고창동호,229,99.2,35.509748,126.478398
고흥신흥,452,23.2,34.585133,127.14555
고흥염포,435,18.3,34.433053,127.491657
군산선유도,45,3.8,35.824958,126.411863
남해유구,188,26.5,34.748905,127.851592
당진석문,159,1.8,37.035635,126.540821
동해노봉,823,18.3,37.59117,129.093693
마산봉암,965,19.6,35.21543,128.62396
보령삽시도,677,5.1,36.33092,126.35338
보령석대도,138,50.1,36.244177,126.520701
부산가덕도,3383,52.1,35.060029,128.846417
부산일광,2675,36.2,35.252181,129.252428
부산해양대,800,22.9,35.075179,129.091104
부안변산,97,39,35.686664,126.532845
사천아두도,325,28.3,34.901331,128.059059
서천다사항,131,56.1,36.108983,126.606063
속초청초,1725,13.5,38.199581,128.596974
시흥정왕,790,4.8,37.338454,126.691824
신안고장,971,20,35.0331609,126.1397505
신안압해도,1157,98.9,34.859067,126.23169
신안우이도,3497,1238,36.616156,125.827114
신안임자도,119,7.1,35.139805,126.115743
신안흑산도,2733,219.8,34.682345,125.407616
안산말부흥,50,0.5,37.208959,126.615005
여수거문도,4207,74.4,34.055286,127.294675
여수반월,246,6.8,34.807,127.557
여수백야도,525,11.6,34.612064,127.642289
여수안도,11420,253.5,34.490179,127.813016
영광백바위,442,117.3,35.244286,126.306748
영덕고래불,596,9.8,36.591025,129.410222
완도보길도,1693,38.4,34.155616,126.50965
완도신지도,743,42.5,34.328266,126.778462
완도평일도,806,85,34.334504,127.067825
울릉현포,2287,250.5,37.52323,130.814637
울산대왕암,2280,27.7,35.49027,129.43975
울산주전,1380,13.6,35.568184,129.454903
울주나사리,1158,46,35.35524,129.33414
울진후정,395,4.9,37.070929,129.415193
인천백령도,812,78,37.951618,124.720306
인천영종도,74,1,37.44253,126.389548
인천영흥도,46,0.7,37.271199,126.494067
제주김녕리,2494,137.6,33.565625,126.76504
제주사계리,827,18.8,33.222638,126.296772
제주위미,902,14.8,33.26946,126.652471
진도가사도,1349,225,34.492353,126.051571
진도하조도,309,24.9,34.281556,126.070983
태안백리포,1359,49.8,36.812988,126.155335
태안안면도,2502,60,36.412261,126.377562
통영망일봉,1215,16,34.844176,128.443624
통영욕지도,2563,47.9,34.62283,128.242944
포항구룡포,4064,87,36.0636,129.57429
포항칠포,1937,75.8,36.134242,129.397924
해남묵동리,221,15.4,34.353221,126.610432
해남송평,327,71.9,34.447242,126.457998
해남예락,292,58.3,34.614639,126.282564
화성서신,124,1.5,37.120018,126.68521
